gene,cancer_related,label,cancer_pathway,protein_type,subcellular_location,description
POLE3,No,Unknown,Dna Repair,DNA Polymerase,Nucleus,Involved in DNA replication and repair mechanisms.
C9orf43,No,Unknown,,Protein Coding,Unknown,Function is not well characterized; potential role in unknown cellular processes.
RGS3,Yes,Tumor Suppressor,G-Protein Signaling,Regulator,Cytoplasm,"Regulates G-protein coupled receptor (GPCR) signaling, involved in signal transduction."
ZNF618,No,Unknown,,Zinc Finger Protein,Nucleus,Implicated in transcriptional regulation.
AMBP,No,Unknown,Ecm Regulation,Glycoprotein,Extracellular Matrix,Involved in the formation of amyloid and proteoglycans.
KIF12,No,Unknown,Cell Cycle And Mitosis,Motor Protein,Cytoplasm,Plays a role in intracellular transport during cell division.
COL27A1,No,Unknown,Ecm And Connective Tissue,Collagen,Extracellular Matrix,"Structural component of the extracellular matrix, involved in tissue integrity."
MIR455,No,Oncogene,Microrna Involvement,Non-coding RNA,Nucleus,Regulates gene expression post-transcriptionally.
ORM1,No,Unknown,Inflammatory Response,Acute phase protein,Plasma,"Binds to free hemoglobin, involved in immune response."
ORM2,No,Unknown,Inflammatory Response,Acute phase protein,Plasma,"Similar function to ORM1, involved in inflammation."
AKNA,No,Unknown,Transcription Regulation,Transcription Factor,Nucleus,Regulates expression of genes important for hematopoiesis.
WHRN,No,Tumor Suppressor,Cell Signaling,Protein,Membrane,"Primarily involved in stereocilia formation, implicated in auditory function."
ATP6V1G1,No,Oncogene/Tumor Suppressor,V-Atpase ,ATPase,Endosome,"Part of the vacuolar ATPase, involved in pH regulation in endosomes."
TMEM268,No,Unknown,,Integral Membrane Protein,Membrane,Potential role in cellular transport and signaling.
TEX53,No,Unknown,Germ Cell Development,Unknown,Nucleus,"Involved in reproductive biology, role in sperm development."
TEX48,No,Unknown,Germ Cell Development,Unknown,Nucleus,"Similar to TEX53, involved in spermatogenesis."
TNFSF15,Yes,Oncogene,Immune Response,Cytokine,Extracellular,Involved in inflammatory responses and cancer progression.
TNFSF8,Yes,Oncogene,Immune System Regulation,Cytokine,Extracellular,"Activates the immune response, involved in tumor immunity."
TNC,Yes,Oncogene/Tumor Suppressor,Ecm Remodeling,Glycoprotein,Extracellular Matrix,"Involved in cell adhesion, migration, and differentiation."
DELEC1,Yes,Tumor Suppressor,Cellular Stress Response,Unknown,Unknown,Implicated in negative regulation of cell proliferation.
LINC00474,No,Unknown,,Long non-coding RNA,Nucleus,Potential role in regulating gene expression via chromatin remodeling.
PAPPA,Yes,Oncogene,Cellular Growth,Proteinase,Extracellular,"Involved in proteolytic cleavage, affecting local growth factor availability."
PAPPA-AS2,Yes,Tumor Suppressor,"Various, Including Pi3k/Akt",Non-coding RNA,Nucleus,Regulates extracellular matrix remodelling; implicated in tumor progression.
PAPPA-AS1,Yes,Tumor Suppressor,Various,Non-coding RNA,Nucleus,"Involved in regulating PAPPA gene, potentially impacting growth factors."
ASTN2,No,No,Neurodevelopmental ,Protein,Cytoplasm,Involved in neural development and synapse formation.
ASTN2-AS1,No,No,,Non-coding RNA,Nucleus,Function is not well characterized; potential regulatory role.
TRIM32,Yes,Oncogene,Ubiquitin Proteasome ,E3 ubiquitin ligase,Cytoplasm,Involvement in cellular processes like apoptosis and cell proliferation.
RPL10P3,No,No,Ribosome Biogenesis,Ribosomal Protein,Nucleus,Component of the ribosomal structure; involved in protein synthesis.
SNORA70C,No,No,Rna Processing,Non-coding RNA,Nucleus,Functions in modification of rRNA; role in ribosome assembly.
RN7SKP128,No,No,,Non-coding RNA,Nucleus,Involved in regulating transcription; potential role in RNA polymerase.
RN7SKP125,No,No,,Non-coding RNA,Nucleus,Participates in RNA processing; function is not well defined.
RPL35AP22,No,No,Ribosome Biogenesis,Ribosomal Protein,Nucleus,Component of the ribosomal structure; involved in protein synthesis.
TLR4,Yes,Oncogene,Innate Immune Response,Receptor,Cell membrane,Activates immune response and inflammation; implicated in tumor microenvironment.
RNU6-1082P,No,No,Rna Processing,Non-coding RNA,Nucleus,Function related to splicing; part of the snRNA family.
TPT1P9,No,No,,Protein,Cytoplasm,May play a role in cellular stress responses.
LINC02578,No,No,,Non-coding RNA,Nucleus,Potential regulatory role; function in cancer not well characterized.
TUBB4BP6,No,No,Cytoskeletal Dynamics,Tubulin,Cytoplasm,Plays a role in microtubule assembly; associated with cellular structure.
BRINP1,No,Tumor Suppressor,,Protein,Cytoplasm,Involved in neural development; potential tumor suppressive function.
LINC01613,No,No,,Non-coding RNA,Nucleus,Regulatory roles in gene expression; function in cancer not well characterized.
MIR147A,Yes,Oncogene,Mirna Splicing/Processing,MicroRNA,Nucleus,Involves regulation of gene expression; implicated in cancer progression.
CDK5RAP2,Yes,Tumor Suppressor,Cell Cycle Regulation,Protein,Cytoplasm,Involved in neurogenesis and regulation of neuronal activities; linked to cancer pathways.
MEGF9,No,No,,Protein,Cell membrane,Role in cellular communication and adhesion; not well characterized in cancer.
AHCYP2,No,Unknown,,Protein,Cytoplasm,"Potential role in cellular signaling, requires further validation in cancer."
FBXW2,Yes,Tumor Suppressor,Cell Cycle Regulation,Ubiquitin Ligase,Cytoplasm,Involved in the ubiquitin-proteasome pathway; may target proteins for degradation.
B3GALT9,No,Unknown,Glycosylation ,Glycosyltransferase,Golgi Apparatus,Participates in the synthesis of glycosaminoglycans; role in cancer needs further study.
PSMD5,Yes,Oncogene,Proteasome ,Proteasomal Subunit,Proteasome,"Component of the proteasome, involved in protein degradation; influences cell cycle."
CUTALP,No,Unknown,,Non-coding RNA,Nucleus,Possibly involved in regulatory functions; specific role in cancer not well characterized.
PHF19,Yes,Oncogene,Chromatin Remodeling,Protein,Nucleus,Engages in transcriptional regulation; implicated in oncogenic processes.
TRAF1,Yes,Oncogene,Nf-Kb ,Adapter Protein,Cytoplasm,Mediates cellular responses to cytokines; implicated in inflammation and cancer.
C5,No,Unknown,Immune Response,Complement Protein,Plasma,Part of the complement system; contribution to cancer immune evasion is under study.
CNTRL,Yes,Tumor Suppressor,Cell Cycle Regulation,Protein,Cytoplasm,Implicated in centrosome regulation; may affect cancer cell division.
RAB14,No,Oncogene,Vesicular Transport,Small GTPase,Cytoplasm,Involved in endosomal trafficking; could impact cancer metastasis.
RN7SL181P,No,Non-coding RNA,,Non-coding RNA,Nucleus,"Potential regulatory roles, but specific impact on cancer is not well defined."
GSN,Yes,Tumor Suppressor,Actin Filament Organization,Actin-Binding Protein,Cytoplasm,Regulates actin filament dynamics; alterations may affect cancer cell motility.
GSN-AS1,No,Non-coding RNA,,Non-coding RNA,Nucleus,Antisense RNA that may regulate GSN expression; further studies required.
STOM,No,Unknown,Cellular Junctions,Protein,Plasma Membrane,Role in cell adhesion; potential implications in tumor progression.
GGTA1,No,Unknown,N-Glycan Biosynthesis,Glycosyltransferase,Golgi Apparatus,Plays a role in glycan synthesis; cancer association needs further evaluations.
RN7SL187P,No,Non-coding RNA,,Non-coding RNA,Nucleus,Similar to RN7SL181P; role in cancer unclear.
HMGB1P37,No,Non-coding RNA,,Non-coding RNA,Nucleus,Potential regulatory role in transcription; specific functions in cancer unclear.
DAB2IP,Yes,Tumor Suppressor,Apoptosis ,Protein,Cytoplasm,Modulates cell growth and survival; acts as a tumor suppressor in various cancers.
TTLL11,No,Unknown,Cilia Function,Tubulin Tyrosine Ligase,Cytoplasm,Involved in microtubule dynamics; implications in cilia-related cancer are under investigation.
MIR4478,No,Non-coding RNA,Gene Regulation,MicroRNA,Nucleus,Regulatory role in gene expression; specific effects in cancer are not well characterized.
NDUFA8,Yes,Oncogene,Mitochondrial Function,Protein subunit,Mitochondrion,Component of NADH dehydrogenase complex I; involved in electron transport.
MORN5,No,Neither,,Protein,Cytoplasm,Involved in cellular signaling and membrane dynamics.
LHX6,No,Tumor Suppressor,Neural Development,Transcription factor,Nucleus,Regulates gene expression during development; implicated in neurogenesis.
RBM18,Yes,Oncogene,"Various, Including Apoptosis",RNA-binding protein,Nucleus & Cytoplasm,Involves in RNA processing; potential role in cell cycle regulation.
MRRF,No,Neither,,Protein,Nucleus,Associated with ribosomal operons; role in nucleolar function.
PTGS1,Yes,Oncogene,Prostaglandin Biosynthesis,Enzyme (Cyclooxygenase),Cytoplasm,"Catalyzes the conversion of arachidonic acid to prostaglandins, involved in inflammation."
OR1J1,No,Neither,Olfactory Signaling,G-protein coupled receptor,Cell membrane,Olfactory receptor involved in smell perception.
OR1J2,No,Neither,Olfactory Signaling,G-protein coupled receptor,Cell membrane,Olfactory receptor involved in smell perception.
OR1J4,No,Neither,Olfactory Signaling,G-protein coupled receptor,Cell membrane,Olfactory receptor involved in smell perception.
OR1N1,No,Neither,Olfactory Signaling,G-protein coupled receptor,Cell membrane,Olfactory receptor involved in smell perception.
OR1N2,No,Neither,Olfactory Signaling,G-protein coupled receptor,Cell membrane,Olfactory receptor involved in smell perception.
OR1L8,No,Neither,Olfactory Signaling,G-protein coupled receptor,Cell membrane,Olfactory receptor involved in smell perception.
OR1H1P,No,Neither,Olfactory Signaling,Pseudogene,Not applicable,Pseudogene; lacks functional significance.
OR1Q1,No,Neither,Olfactory Signaling,G-protein coupled receptor,Cell membrane,Olfactory receptor involved in smell perception.
OR1B1,No,Neither,Olfactory Signaling,G-protein coupled receptor,Cell membrane,Olfactory receptor involved in smell perception.
OR1L1,No,Neither,Olfactory Signaling,G-protein coupled receptor,Cell membrane,Olfactory receptor involved in smell perception.
OR1L3,No,Neither,Olfactory Signaling,G-protein coupled receptor,Cell membrane,Olfactory receptor involved in smell perception.
TLK1P1,No,Neither,,Pseudogene,Not applicable,Pseudogene; may have regulatory functions but not well characterized.
OR1L4,No,Neither,Olfactory Signaling,G-protein coupled receptor,Cell membrane,Olfactory receptor involved in smell perception.
OR1L6,No,Neither,Olfactory Signaling,G-protein coupled receptor,Cell membrane,Olfactory receptor involved in smell perception.
SKA2P1,No,Potentially oncogenic,,Non-coding RNA,Nucleus,Involved in the regulation of microtubule stabilization; part of the spindle assembly checkpoint.
OR5C1,No,None,,Receptor,Membrane,Olfactory receptor; involved in sensory perception.
PDCL,Yes,Unknown,Cell Signaling,Protein,Cytoplasm,Functions in calcium signaling and may play a role in apoptosis.
OR1K1,No,None,,Receptor,Membrane,Olfactory receptor; involved in sensory perception.
KRT18P67,No,None,,Non-coding RNA,Nucleus,Involved in keratinization; may have roles in skin function.
RC3H2,No,None,Rna Metabolism,Protein,Cytoplasm,Plays a role in RNA degradation and stability.
SNORD90,No,None,Ribosome Biogenesis,Non-coding RNA,Nucleus,Functions as a snoRNA involved in rRNA processing.
ZBTB6,No,Potentially tumor suppressor,,Transcription factor,Nucleus,Involved in transcriptional regulation and may inhibit neoplastic processes.
ZBTB26,Yes,Tumor suppressor,May Involve Several Cancer ,Transcription factor,Nucleus,Plays a role in gene regulation during development and may have a role in tumor suppression.
RABGAP1,Yes,Tumor suppressor,Rab Gtpase Cycle,Protein,Cytoplasm,Involved in vesicle trafficking and may support tumor suppressive functions.
RNY1P15,No,None,,Non-coding RNA,Nucleus,Involved in the regulation of RNA and may have roles in gene expression.
GPR21,No,None,,Receptor,Membrane,G protein-coupled receptor involved in various signaling pathways.
MIR600HG,No,Functions as a tumor suppressor,May Involve Multiple ,Non-coding RNA,Nucleus,An lncRNA implicated in the regulation of gene expression related to tumor biology.
STRBP,No,Unknown,,Protein,Cytoplasm,Involved in RNA metabolism and may have roles in cellular stress responses.
CRB2,Yes,Tumor suppressor,Cell Adhesion,Protein,Membrane,Plays a role in cell polarity and may help suppress metastasis.
DENND1A,No,None,Cargo Regulation,Protein,Cytoplasm,"Involved in endosomal trafficking, but not directly linked to cancer."
MIR601,No,None,Potential Regulation Of Cell Cycle,Non-coding RNA,Nucleus,MicroRNA with potential roles in regulating gene expression related to proliferation.
PIGFP2,No,None,,Protein,Cytoplasm,May play a role in glycosylation processes and cell signaling.
LHX2,Yes,Potentially oncogenic,Developmental Signaling,Transcription factor,Nucleus,Involved in neural development and may play a role in tumorigenesis.
NEK6,Yes,Oncogene,Cell Cycle Regulation,Protein,Cytoplasm,Involved in mitosis; overexpression linked to multiple cancers.
PSMB7,Yes,Oncogene,Proteasome ,Proteasome subunit,Nucleus/Cytoplasm,Involved in protein degradation; regulates cell cycle and apoptosis.
NR5A1,Yes,Oncogene,Steroid Hormone Signaling,Transcription factor,Nucleus,Regulates genes involved in steroidogenesis and metabolism.
RPL35,No,Tumor suppressor,Ribosome Biogenesis,Ribosomal protein,Cytoplasm,Part of the ribosomal machinery; essential for protein synthesis.
SCAI,Yes,Tumor suppressor,Cell Adhesion And Migration,Transcription factor,Nucleus,Regulates gene expression related to cell migration and invasion.
PPP6C,Yes,Tumor suppressor,Cell Cycle Signaling,Protein phosphatase,Cytoplasm,Regulates cell cycle and signaling pathways; implicated in tumorigenesis.
HSPA5,Yes,Oncogene,Er Stress Response,Chaperone,Endoplasmic reticulum,"Prevents protein misfolding, promotes cell survival under stress."
GAPVD1,No,Oncogene,Endocytosis,Protein,Cytoplasm,Regulates endosomal trafficking and recycling.
RNU6-1020P,No,Non-coding RNA,Splicing,Non-coding RNA,Nucleus,Involved in RNA splicing processes.
MAPKAP1,Yes,Oncogene,Mapk Signaling ,Kinase,Cytoplasm,Mediates responses to stress signals and cytokine signaling.
RN7SL30P,No,Non-coding RNA,,Non-coding RNA,Nucleus,Potential role in RNA processing; largely not characterized.
HNRNPA1P15,No,Non-coding RNA,Rna Processing,Non-coding RNA,Nucleus,May be involved in splicing regulation.
PBX3,Yes,Oncogene,Development ,Transcription factor,Nucleus,Regulates gene expression involved in development; dysregulated in cancer.
MVB12B,No,Tumor Suppressor,Endosomal Sorting,Protein,Cytoplasm,Involved in multivesicular body formation and sorting.
NRON,Yes,Tumor Suppressor,Nf-Kb Signaling,RNA,Nucleus,"Regulates NF-kB activity, influencing inflammation and cancer."
MIR1302-7,No,Oncogene,Regulation Of Wnt Signaling,MicroRNA,Cytoplasm,Involved in the regulation of gene expression via RNA interference.
LMX1B,No,Tumor Suppressor,Development ,Transcription factor,Nucleus,Essential for neuronal development; loss associated with cancer.
ZBTB43,Yes,Tumor Suppressor,Dna Repair,Transcription factor,Nucleus,Involved in gene regulation related to cell cycle and apoptosis.
ZBTB34,No,Oncogene,,Transcription factor,Nucleus,May play a role in transcriptional repression during cancer development.
RALGPS1,No,Oncogene,Ral Signaling ,Guanine nucleotide exchange factor,Cytoplasm,Activates Ral proteins; involved in cell proliferation and survival.
ANGPTL2,Yes,Oncogene,Angiogenesis,Secreted protein,Extracellular,"Involved in promoting angiogenesis, associated with tumor growth."
GARNL3,No,Unknown,,Protein,Cytoplasm,Function largely unclear; potential role in RNA binding.
SLC2A8,No,Oncogene,Metabolic ,Transporter,Plasma membrane,Facilitates glucose transport across cell membranes.
ZNF79,Yes,Oncogene,Transcription Regulation,Zinc finger protein,Nucleus,"Involved in regulation of gene expression, may act in cancer progression."
RPL12,No,Tumor Suppressor,Ribosome Biogenesis,Ribosomal protein,Nucleus/Cytoplasm,"Component of the ribosome, important for protein synthesis."
SNORA65,No,Non-coding RNA,Snorna ,Non-coding RNA,Nucleus,Involved in post-transcriptional modifications of rRNA.
LRSAM1,Yes,Tumor Suppressor,"Apoptosis, Immune Response",E3 ubiquitin ligase,"Cytoplasm, Nucleus","Regulates protein degradation, immune signaling"
NIBAN2,Yes,Tumor Suppressor,Dna Damage Response,Adaptor protein,"Cytoplasm, Nucleus",Involved in DNA repair and apoptosis
STXBP1,No,Oncogene,Vesicle Transport,SNARE protein,Cytoplasm,Mediates synaptic vesicle exocytosis
MIR3911,No,Neither,Mirna ,MicroRNA,Cytoplasm,Regulates gene expression post-transcriptionally
PTRH1,No,Neither,,Peptide release factor,Cytoplasm,Involved in peptide biosynthesis
CFAP157,No,Neither,,Ciliary protein,Cilia,Role in cilia function and sperm motility
TTC16,No,Neither,,Tetratricopeptide repeat,Cytoplasm,Involved in mitochondrial function and assembly
TOR2A,No,Oncogene,Mtor Signaling,Serine/threonine kinase,"Cytoplasm, Nucleus",Regulates cell growth and metabolism
SH2D3C,No,Tumor Suppressor,Immune Response,Adaptor protein,Cytoplasm,Involved in T-cell activation and signaling
CDK9,Yes,Oncogene,Cell Cycle Regulation,Cyclin-dependent kinase,Nucleus,Regulates transcription and cell cycle progression
MIR3960,No,Neither,Mirna ,MicroRNA,Cytoplasm,Modulates gene expression involved in development
FPGS,No,Neither,Folate Metabolism,Enzyme,Cytoplasm,Catalyzes folate metabolism pathway
ENG,No,Neither,Endothelial Function,Cell surface receptor,Plasma Membrane,Involved in angiogenesis and vascular integrity
RNA5SP296,No,Neither,,Small nucleolar RNA,Nucleus,Role in RNA processing
AK1,No,Neither,,Kinase,Cytoplasm,Involved in ATP transport
MIR4672,No,Neither,Mirna ,MicroRNA,Cytoplasm,Regulates gene expression post-transcriptionally
ST6GALNAC6,No,Neither,Glycosylation ,Glycosyltransferase,Golgi apparatus,Modifies glycoproteins and glycolipids
ST6GALNAC4,No,Neither,Glycosylation ,Glycosyltransferase,Golgi apparatus,Similar function to ST6GALNAC6
PIP5KL1,No,Neither,Phosphoinositide Signaling,Enzyme,Cytoplasm,Involved in phosphatidylinositol metabolism
DPM2,No,Neither,Glycolipid Biosynthesis,Enzyme,Endoplasmic reticulum,Involved in dolichol phosphate biosynthesis
FAM102A,Yes,Oncogene,Various Not Specifically Canonical,Protein coding,Cytoplasm,Potential role in cancer cell proliferation
NAIF1,No,Oncogene,,Protein coding,Cytoplasm,Involved in modulating cell cycle and apoptosis
SLC25A25,No,Neither,Mitochondrial Function,Transport protein,Mitochondria,Involved in mitochondrial transport of metabolites
SLC25A25-AS1,No,Neither,,Non-coding RNA,Nucleus,Competes with SLC25A25; may have regulatory roles
PTGES2,No,Oncogene,Prostaglandin Signaling,Enzyme,Cytoplasm,Involved in inflammatory responses and tumor progression
LCN2,Yes,Oncogene,"Inflammation, Metabolism",Secreted protein,Extracellular,Involved in iron transport and inflammation in cancer
BBLN,No,Neither,,Protein coding,Cytoplasm,Functions in cellular assembly and cytoskeleton dynamics
CIZ1,Yes,Oncogene,Cell Cycle Control,Nuclear protein,Nucleus,Regulates DNA replication and repair
DNM1,Yes,Oncogene,Endocytic ,GTPase,"Cytoplasm, Endosomal",Plays a role in endocytosis and vesicle trafficking
MIR199B,No,Neither,Microrna ,Non-coding RNA,Nucleus,Regulates gene expression related to cancer
MIR3154,No,Neither,Microrna ,Non-coding RNA,Nucleus,Potential role in regulating cancer-related genes
GOLGA2,No,Neither,Golgi Apparatus Function,Structural protein,Golgi apparatus,Involved in vesicular trafficking and Golgi organization
SWI5,No,Tumor suppressor,Dna Repair And Cell Cycle,Transcription factor,Nucleus,Regulates genes involved in DNA damage response
TRUB2,No,Neither,,RNA-binding protein,Nucleus,Involved in RNA processing and regulation
COQ4,No,Neither,Mitochondrial Function,Enzyme,Mitochondria,Important for ubiquinone biosynthesis
SLC27A4,No,Neither,Lipid Metabolism,Transport protein,Plasma membrane,Involved in long-chain fatty acid transport
TMSB4XP4,No,Neither,,Protein coding,Cytoplasm,May be involved in maintaining cytoskeletal integrity
URM1,No,Neither,,Protein modifier,Cytoplasm,Involved in protein modification and signaling pathways
MIR219A2,No,Neither,Microrna ,Non-coding RNA,Nucleus,Plays a role in the regulation of target gene expression
CERCAM,No,Neither,Cell Adhesion,Adhesion protein,Plasma membrane,Likely involved in cell-cell interactions
ODF2,No,Tumor Suppressor, Reproductive Cancer,Structural protein,Cilia/Flagella,Microtubule stabilization and sperm motility
ODF2-AS1,No,Non-coding RNA,,Non-coding RNA,Nucleus,Regulation of ODF2 and other genes
GLE1,Yes,Oncogene, Cancer Signaling,RNA-binding protein,Cytoplasm,mRNA export and translation
RNU7-171P,No,Non-coding RNA,,Non-coding RNA,Nucleus,Regulatory role in RNA splicing
SPTAN1,No,Tumor Suppressor, Neurodegenerative Diseases,Cytoskeletal protein,Cytoplasm,Structural role in cytoskeleton
DYNC2I2,No,Tumor Suppressor, Neurodegeneration,Motor protein,Cytoplasm,Involved in ciliary transport
VTI1BP4,No,Non-coding RNA,,Adapter protein,Cytoplasm,Involved in vesicular transport
HMGA1P4,No,Non-coding RNA, Various Cancers,Non-coding RNA,Nucleus,Regulation of gene expression
SET,Yes,Oncogene, Cell Cycle ,Histone methyltransferase,Nucleus,Epigenetic regulation
PKN3,No,Oncogene, Cell Signaling,Serine/threonine kinase,Cytoplasm,Involved in cell signaling pathways
RN7SL560P,No,Non-coding RNA,,Non-coding RNA,Nucleus,Potential regulatory role in gene expression
ZDHHC12,Yes,Oncogene, Cell Signaling,Palmitoyltransferase,Membrane-bound,Plays a role in protein post-translational modifications
ZER1,No,Tumor Suppressor, Tumor Suppression,Zinc finger protein,Nucleus,Modulates transcriptional regulation
TBC1D13,No,Tumor Suppressor,,GTPase-activating protein,Cytoplasm,Involved in vesicle trafficking
ENDOG,Yes,Oncogene, Apoptosis ,Endonuclease,Mitochondria,Involved in DNA/RNA processing
SPOUT1,No,Non-coding RNA,,RNA methyltransferase,Nucleus,"Methylation of RNA, regulatory role"
KYAT1,No,Oncogene, Metabolic ,Enzyme,Cytoplasm,Involved in the metabolism of kynurenine
LRRC8A,No,Oncogene, Cell Signaling,Channel protein,Plasma membrane,Component of volume-regulated anion channels
PHYHD1,No,Tumor Suppressor,,Enzyme,Mitochondria,Involved in metabolizing certain molecules
DOLK,No,Tumor Suppressor, Metabolic Disorders,Enzyme,Endoplasmic reticulum,Involved in dolichol biosynthesis
NUP188,No,Tumor Suppressor,,Nuclear Protein,Nucleus,Involved in nucleocytoplasmic transport and RNA processing.
SH3GLB2,No,Oncogene,Endocytosis,SH3 Domain Protein,Cytoplasm,Modulates endosomal trafficking and intracellular signaling.
MIGA2,No,N/A,,Mitochondrial Protein,Mitochondria,Involved in mitochondrial dynamics and function.
DOLPP1,Yes,Tumor Suppressor,Vesicle Trafficking,Golgi Protein,Golgi apparatus,Plays a role in membrane transport and Golgi organization.
CRAT,No,N/A,Lipid Metabolism,Enzyme,Mitochondria,Catalyzes the conversion of carnitine to acylcarnitine.
PTPA,No,N/A,,Phosphatase,Cytoplasm,Regulates the activity of protein phosphatase 2A (PP2A).
IER5L,Yes,Oncogene,Cell Stress Response,Immediate Early Gene,Nucleus,Functions in response to cellular stress and apoptosis.
LINC02913,No,N/A,,Long Non-coding RNA,Nucleus,Potential regulatory role in gene expression.
LINC01503,No,N/A,,Long Non-coding RNA,Nucleus,Potential role in regulation of nearby gene expression.
RN7SL159P,No,N/A,,Non-coding RNA,Cytoplasm,Regulatory role as a small RNA molecule.
LINC00963,No,N/A,,Long Non-coding RNA,Nucleus,Involved in regulation of gene expression networks.
NTMT1,No,N/A,,Enzyme,Cytoplasm,Methylates N-terminal amino acids of proteins.
C9orf50,No,N/A,,Unknown,Unknown,Role in gene regulation remains unclear.
ASB6,No,N/A,,E3 Ubiquitin Ligase,Cytoplasm,Involved in protein degradation and signaling pathways.
PRRX2,Yes,Oncogene,Developmental Signaling,Transcription Factor,Nucleus,Important in development and differentiation processes.
PRRX2-AS1,No,N/A,,Long Non-coding RNA,Nucleus,Potential regulatory role in PRRX2 expression.
PTGES,Yes,Oncogene,Prostaglandin Synthesis,Enzyme,Cytoplasm,Involved in the synthesis of prostaglandin E2 from PGH2.
UBE2V1P4,No,N/A,,Ubiquitin-conjugating Enzyme,Cytoplasm,Role in regulation of protein degradation pathways.
TOR1B,No,N/A,Tor Signaling ,GTPase,Mitochondria,Involved in mitochondrial dynamics and signaling.
TOR1A,Yes,Oncogene,Neurodegenerative ,GTPase,"Cytoplasm, Nucleus",Plays role in cellular signaling and mitochondrial function.
C9orf78,No,Unknown,,Unknown,Unknown,May play a role in cell signaling or proliferation.
USP20,Yes,Oncogene,Wnt/Β-Catenin ,Ubiquitin ligase,Cytoplasm,Involved in protein degradation and stability.
FNBP1,Yes,Oncogene,Actin Cytoskeleton Signaling,Adapter protein,Cytoplasm,Facilitates actin polymerization and cell motility.
GPR107,No,Unknown,G Protein-Coupled Receptor,Membrane protein,Plasma membrane,Involved in signaling pathways related to metabolism.
GPRACR,No,Unknown,,G protein-coupled receptor,Plasma membrane,Potential role in immune response modulation.
NCS1,No,Oncogene,Calcium Signaling,Calcium-binding protein,Cytoplasm,Regulates neurotransmitter release and synaptic function.
HMCN2,No,Tumor Suppressor,Cell Adhesion,Membrane protein,Plasma membrane,Critical for maintaining cell structure and integrity.
RN7SL665P,No,Unknown,,RNA,Nucleus,Involved in RNA processing and regulation.
ASS1,Yes,Tumor Suppressor,Arginine Biosynthesis,Enzyme,Cytoplasm,Plays a role in nitrogen metabolism and cell proliferation.
FUBP3,No,Unknown,Rna Processing,RNA-binding protein,Nucleus,Regulates gene expression at the transcription and post-transcription levels.
PRDM12,Yes,Tumor Suppressor,Developmental Signaling,Transcription factor,Nucleus,Important in the regulation of gene expression for neurogenesis.
EXOSC2,No,Tumor Suppressor,Rna Degradation,Exosome component,Nucleus/Cytoplasm,Involved in RNA processing and degradation.
ABL1,Yes,Oncogene,Cell Signaling,Tyrosine kinase,Cytoplasm/Nucleus,Regulates cell growth and differentiation.
QRFP,No,Unknown,Neuroendocrine Signaling,Hormone,Plasma membrane,Involved in neuronal signaling and appetite regulation.
FIBCD1,No,Unknown,Immune Response,C-type lectin,Plasma membrane,Plays a role in pathogen recognition and immune response.
LAMC3,No,Unknown,Extracellular Matrix Signaling,ECM protein,Extracellular matrix,"Involved in cell adhesion, migration, and tissue integrity."
AIF1L,No,Unknown,Immunology,Actin-binding protein,Cytoplasm,May be involved in immune cell activation.
NUP214,No,Unknown,Nuclear Transport,Nucleus transport,Nuclear pore complex,Participates in nucleocytoplasmic transport of proteins.
RNU6-881P,No,Unknown,Rna Processing,SnRNA,Nucleus,Plays a role in RNA splicing.
FAM78A,No,Unknown,,Unknown,Unknown,May have a role in cell signaling or molecular interactions.
PLPP7,Yes,Tumor Suppressor,Lipid Metabolism,Enzyme,Membrane,Involved in phospholipid metabolism and signaling.
PRRC2B,No,Oncogene,Rna Processing,RNA-binding protein,Nucleus,Plays a role in RNA processing and translation regulation
SNORD62A,No,Non-coding RNA,,RNA,Nucleus,"Involved in RNA modification, specifically in snoRNA."
SNORD62B,No,Non-coding RNA,,RNA,Nucleus,"Similar function to SNORD62A, participates in rRNA modification."
POMT1,No,Tumor Suppressor,Glycosylation,Enzyme,Endoplasmic Reticulum,Important for protein glycosylation processes.
UCK1,No,Tumor Suppressor,Nucleotide Metabolism,Enzyme,Cytoplasm,Catalyzes the phosphorylation of uridine and cytidine.
RAPGEF1,Yes,Oncogene,Signal Transduction,Guanine nucleotide exchange factor,Cytoplasm,"Activates RAS signaling pathways, promoting cell proliferation."
RN7SL328P,No,Non-coding RNA,,RNA,Nucleus,"Role in RNA modification, details are limited."
EIF4A1P3,No,Non-coding RNA,Translation Initiation,RNA,Cytoplasm,Involved in the process of translation-related functions.
MED27,Yes,Oncogene,Transcription Regulation,Coactivator,Nucleus,"Part of the Mediator complex, involved in gene expression regulation."
NTNG2,No,Tumor Suppressor,Neurodevelopment,Neuroprotein,Extracellular,Involved in neural differentiation and signaling.
SETX,Yes,Tumor Suppressor,Dna Repair,Helicase,Nucleus,Involved in DNA damage response and RNA metabolism.
TTF1,No,Oncogene,Lung Cancer,Transcription factor,Nucleus,Regulates gene expression in development and cancer.
CFAP77,No,Unknown,Ciliary Function,Protein,Cilia,Associated with ciliary motility and protein complexes.
RNU5D-2P,No,Non-coding RNA,,RNA,Nucleus,"Possibly involved in RNA modification, detailed functions are unclear"
BARHL1,No,Tumor Suppressor,Neurodevelopment,Transcription factor,Nucleus,Implicated in neural development and differentiation.
DDX31,Yes,Tumor Suppressor,Rna Processing,Helicase,Nucleus,Associated with RNA metabolism and cell cycle regulation.
